,city,district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
67,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,203,Yes,exterior, floor 1,1095000
68,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,1,59,Yes,exterior, floor 4,480000
69,Barcelona,Eixample,Sant Antoni,good condition,Penthouse,4,167,Yes,exterior, floor 6,695000
70,Barcelona,Les Corts,Pedralbes,good condition,Flat,5,232,Yes,exterior, floor 2,1660000
71,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Duplex,4,800,Yes,exterior,ground floor,1700000
72,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,86,No,exterior,ground floor,298000
73,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,105,Yes,exterior, floor 2,425000
74,Barcelona,Ciutat Vella,el Raval,good condition,Flat,3,145,Yes,exterior, floor 1,680000
75,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,155,Yes,exterior, floor 4,875000
76,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,148,Yes,exterior, floor 3,995000
77,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,102,Yes,exterior, floor 3,440000
78,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,250,Yes,exterior, floor 2,1100000
79,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,101,Yes,exterior, floor 3,625000
80,Barcelona,Les Corts,la Maternitat i Sant Ramon,good condition,Flat,3,100,Yes,exterior, floor 2,385000
81,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Penthouse,2,88,Yes,exterior, floor 4,710000
82,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,77,Yes,exterior, floor 1,260000
83,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,87,Yes,exterior, floor 5,399000
84,Barcelona,Sant Martí,el Clot,good condition,Flat,1,60,Yes,exterior, floor 1,179000
85,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,Detached,4,243,No,exterior,Multiple,650000
86,Barcelona,Eixample,el Fort Pienc,good condition,Flat,3,118,Yes,exterior, floor 2,445000
87,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Semi-detached,5,311,No,exterior,Multiple,960000
88,Barcelona,Sarrià-Sant Gervasi,les Tres Torres,good condition,Flat,3,118,Yes,exterior, floor 2,795000
89,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,72,Yes,exterior, floor 5,450000
90,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,68,No,exterior, floor 3,233150
91,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,87,Yes,exterior, floor 5,365000
92,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,90,Yes,exterior, floor 1,690000
93,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,Detached,5,380,No,exterior,Multiple,830000
94,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,225,Yes,exterior, floor 6,1100000
95,Barcelona,Sant Martí,el Besòs i el Maresme,good condition,Flat,3,94,Yes,exterior, floor 7,359000
96,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Detached,6,296,No,exterior,Multiple,1350000
97,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,1,81,No,exterior,mezzanine,430000
98,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Penthouse,3,140,Yes,exterior, floor 5,1050000
99,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,134,Yes,exterior, floor 4,595000
100,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,1,86,Yes,exterior, floor 4,390000
101,Barcelona,Les Corts,les Corts,good condition,Flat,4,170,Yes,exterior, floor 1,668000
102,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Duplex,3,197,Yes,exterior, floor 2,800000
103,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Penthouse,4,145,Yes,exterior, floor 5,760000
104,Barcelona,Les Corts,la Maternitat i Sant Ramon,good condition,Duplex,3,170,Yes,exterior,ground floor,490000
105,Barcelona,Eixample,la Sagrada Família,good condition,Flat,4,101,Yes,interior, floor 3,309000
106,Barcelona,Horta-Guinardó,la Font d'en Fargues,good condition,Flat,4,122,No,exterior, floor 2,449000
107,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Penthouse,2,213,Yes,exterior, floor 7,1500000
108,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,105,Yes,exterior, floor 2,630000
109,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,318,Yes,exterior, floor 4,2500000
110,Barcelona,Eixample,Sant Antoni,good condition,Flat,3,80,Yes,exterior, floor 2,365000
111,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Flat,4,90,Yes,exterior, floor 4,370000
112,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,109,Yes,exterior, floor 7,475000
113,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,110,Yes,exterior, floor 3,645000
114,Barcelona,Eixample,el Fort Pienc,good condition,Flat,4,97,Yes,exterior, floor 2,495000
115,Barcelona,Eixample,Sant Antoni,good condition,Penthouse,3,101,Yes,exterior, floor 5,480000
116,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,3,130,Yes,exterior,mezzanine,630000
117,Barcelona,Gràcia,Vallcarca i els Penitents,good condition,Semi-detached,4,364,No,exterior,Multiple,1149000
118,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Semi-detached,5,465,No,exterior,Multiple,3370000
119,Barcelona,Les Corts,les Corts,good condition,Flat,3,88,Yes,exterior, floor 2,389000
120,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,4,85,Yes,exterior, floor 6,375000
121,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,113,Yes,exterior,mezzanine,378000
122,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,108,Yes,exterior,mezzanine,375000
123,Barcelona,Sants-Montjuïc,la Bordeta,good condition,Flat,4,90,Yes,exterior, floor 3,279500
124,Barcelona,Les Corts,les Corts,good condition,Flat,2,134,Yes,exterior, floor 1,670000
125,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Flat,4,217,Yes,exterior, floor 4,1150000
126,Barcelona,Les Corts,les Corts,good condition,Flat,3,121,Yes,exterior, floor 6,1454000
127,Barcelona,Les Corts,les Corts,good condition,Flat,3,95,Yes,exterior, floor 5,1082000
128,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,125,Yes,exterior, floor 5,690000
129,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,71,Yes,exterior, floor 3,348000
130,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,3,90,No,exterior,ground floor,490000
131,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,90,Yes,exterior, floor 3,760000
132,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,148,Yes,exterior,mezzanine,1325000
133,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,5,206,Yes,exterior, floor 4,1095000
134,Barcelona,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Penthouse,4,147,Yes,exterior, floor 5,790000
135,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,118,Yes,exterior, floor 3,975000
136,Barcelona,Eixample,la Sagrada Família,good condition,Flat,3,121,Yes,exterior, floor 1,465000
137,Barcelona,Gràcia,la Salut,good condition,Flat,3,91,Yes,exterior, floor 1,499000
138,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,93,Yes,exterior, floor 8,405000
139,Barcelona,Horta-Guinardó,la Font d'en Fargues,good condition,Flat,2,64,No,exterior,ground floor,149000
140,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,138,Yes,exterior, floor 2,850000
141,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,126,Yes,exterior, floor 1,735000
142,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,130,Yes,exterior, floor 1,795000
143,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,132,Yes,exterior,mezzanine,599000
144,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,135,Yes,exterior, floor 4,895000
145,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,115,Yes,exterior, floor 4,615000
146,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,144,Yes,exterior, floor 4,630000
147,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,141,Yes,exterior, floor 3,825000
148,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,128,Yes,exterior, floor 4,749000
149,Barcelona,Les Corts,Pedralbes,good condition,Flat,4,225,Yes,exterior, floor 1,1350000
150,Barcelona,Eixample,el Fort Pienc,good condition,Flat,3,158,Yes,exterior, floor 4,599000
151,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,2,102,Yes,exterior, floor 4,595000
152,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,173,Yes,exterior, floor 4,1600000
153,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,4,136,Yes,exterior,mezzanine,745000
154,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,6,235,Yes,exterior, floor 4,1220000
155,Barcelona,Ciutat Vella,la Barceloneta,good condition,Flat,3,76,No,exterior, floor 3,395000
156,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,122,Yes,exterior, floor 1,620000
157,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,3,78,Yes,exterior, floor 3,390000
158,Barcelona,Sant Martí,la Verneda i la Pau,good condition,Flat,3,79,No,exterior, floor 1,150000
159,Barcelona,Ciutat Vella,el Raval,good condition,Flat,3,108,No,exterior, floor 2,298000
160,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,109,Yes,exterior, floor 1,380000
161,Barcelona,Sant Martí,el Parc i la Llacuna del Poblenou,good condition,Flat,3,73,Yes,exterior,ground floor,283000
162,Barcelona,Nou Barris,les Roquetes,good condition,Flat,3,105,No,exterior, floor 1,240000
163,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,4,154,Yes,exterior, floor 3,590000
164,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,2,65,Yes,interior, floor 4,290000
165,Barcelona,Horta-Guinardó,el Baix Guinardó,good condition,Flat,3,122,Yes,exterior, floor 3,450000
166,Barcelona,Nou Barris,la Prosperitat,good condition,Penthouse,2,60,Yes,exterior, floor 4,254900
167,Barcelona,Eixample,la Sagrada Família,good condition,Flat,4,87,Yes,exterior, floor 4,354000
168,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,116,Yes,exterior,mezzanine,845000
169,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,240,Yes,exterior, floor 6,960000
170,Barcelona,Les Corts,les Corts,good condition,Flat,4,96,Yes,exterior, floor 4,385000
171,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,3,88,Yes,exterior, floor 1,340000
172,Barcelona,Sant Martí,el Clot,good condition,Penthouse,3,114,Yes,exterior, floor 5,465000
173,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,152,Yes,exterior, floor 4,750000
174,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Duplex,2,107,Yes,exterior,ground floor,698000
175,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,148,Yes,exterior, floor 2,1300000
176,Barcelona,Eixample,Sant Antoni,good condition,Flat,3,140,Yes,exterior, floor 8,635000
177,Barcelona,Nou Barris,Vilapicina i la Torre Llobeta,good condition,Penthouse,2,42,Yes,exterior, floor 6,192100
178,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,180,Yes,exterior, floor 1,1095000
179,Barcelona,Horta-Guinardó,el Baix Guinardó,good condition,Flat,3,87,Yes,exterior, floor 5,625000
180,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Flat,4,139,Yes,exterior, floor 3,1100000
181,Barcelona,Sarrià-Sant Gervasi,les Tres Torres,good condition,Penthouse,4,365,Yes,exterior, floor 5,2150000
182,Barcelona,Gràcia,Vallcarca i els Penitents,good condition,Penthouse,2,80,Yes,exterior, floor 4,429000
183,Barcelona,Sant Martí,el Poblenou,good condition,Penthouse,2,93,No,exterior, floor 2,455000
184,Barcelona,Nou Barris,Vilapicina i la Torre Llobeta,good condition,Penthouse,3,125,Yes,exterior, floor 5,460000
185,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Penthouse,5,155,Yes,exterior, floor 9,890000
186,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,134,Yes,exterior, floor 1,790000
187,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,112,Yes,exterior,mezzanine,550000
188,Barcelona,Les Corts,les Corts,good condition,Flat,4,95,Yes,exterior, floor 8,560000
189,Barcelona,Sant Andreu,Sant Andreu,good condition,Terraced,3,75,No,exterior,Multiple,298000
190,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,1,52,Yes,exterior, floor 5,370000
191,Barcelona,Les Corts,les Corts,good condition,Flat,2,105,Yes,exterior,ground floor,573000
192,Barcelona,Les Corts,les Corts,good condition,Flat,3,76,Yes,exterior, floor 3,339500
193,Barcelona,Les Corts,la Maternitat i Sant Ramon,good condition,Flat,4,101,Yes,interior, floor 3,437500
194,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,146,Yes,exterior, floor 1,1430000
195,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,169,Yes,exterior, floor 6,1650000
196,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,2,82,Yes,exterior, floor 3,379000
197,Barcelona,Eixample,la Sagrada Família,good condition,Flat,4,84,Yes,exterior, floor 4,320000
198,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,74,No,exterior, floor 2,315000
199,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,75,Yes,exterior, floor 2,540000
200,Barcelona,Eixample,Sant Antoni,good condition,Flat,4,136,Yes,exterior, floor 4,820000
201,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,130,Yes,exterior, floor 1,720000
202,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,126,Yes,exterior, floor 1,790000
203,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,3,93,Yes,exterior, floor 8,405000
204,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Detached,5,311,No,exterior,Multiple,990000
205,Barcelona,Sant Martí,el Poblenou,good condition,Flat,3,90,Yes,interior,ground floor,330000
206,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,93,Yes,exterior, floor 8,415000
207,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Flat,4,91,Yes,exterior, floor 5,260000
208,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,4,86,Yes,exterior, floor 1,320000
209,Barcelona,Sant Martí,la Verneda i la Pau,good condition,Flat,4,81,Yes,exterior, floor 6,270000
210,Barcelona,Ciutat Vella,el Raval,good condition,Penthouse,2,63,Yes,exterior, floor 5,349000
211,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,104,Yes,exterior, floor 2,660000
212,Barcelona,Les Corts,Pedralbes,good condition,Detached,9,605,No,exterior,Multiple,4500000
213,Barcelona,Les Corts,Pedralbes,good condition,Detached,7,900,No,exterior,Multiple,10000000
214,Barcelona,Sarrià-Sant Gervasi,les Tres Torres,good condition,Detached,2,224,No,exterior,Multiple,2750000
215,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Detached,3,134,No,exterior,Multiple,780000
216,Barcelona,Horta-Guinardó,la Teixonera,good condition,Detached,3,79,No,exterior,Multiple,199520
217,Barcelona,Les Corts,Pedralbes,good condition,Detached,5,340,No,exterior,Multiple,2060000
218,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Detached,5,248,No,exterior,Multiple,1950000
219,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Detached,6,474,No,exterior,Multiple,2350000
220,Barcelona,Nou Barris,la Trinitat Nova,good condition,Flat,3,104,No,exterior, floor 3,176000
221,Barcelona,Eixample,el Fort Pienc,good condition,Flat,3,78,Yes,exterior, floor 2,499000
222,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,3,97,Yes,exterior, floor 5,339000
223,Barcelona,Les Corts,Pedralbes,good condition,Detached,4,185,No,exterior,Multiple,860000
224,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,107,Yes,exterior, floor 4,460000
225,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,2,65,Yes,exterior, floor 2,245000
226,Barcelona,Les Corts,la Maternitat i Sant Ramon,good condition,Flat,4,101,Yes,exterior, floor 3,437000
227,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,1,56,Yes,interior, floor 4,169000
228,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,2,70,Yes,exterior, floor 1,385000
229,Barcelona,Sant Martí,el Clot,good condition,Penthouse,3,99,Yes,exterior, floor 9,430000
230,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,125,Yes,exterior, floor 1,590000
231,Barcelona,Eixample,el Fort Pienc,good condition,Flat,1,77,Yes,exterior,mezzanine,350000
232,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,exterior, floor 2,1200000
233,Barcelona,Ciutat Vella,el Raval,good condition,Flat,3,117,Yes,exterior, floor 2,540000
234,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,5,242,Yes,exterior, floor 5,980000
235,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,180,Yes,exterior, floor 4,860000
236,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Penthouse,3,151,Yes,exterior, floor 7,690000
237,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Penthouse,2,151,Yes,exterior, floor 7,690000
238,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,2,100,Yes,exterior, floor 4,640000
239,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,95,Yes,exterior, floor 6,790000
240,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,145,No,exterior, floor 2,560000
241,Barcelona,Gràcia,Vallcarca i els Penitents,good condition,Penthouse,2,108,Yes,exterior, floor 3,530000
242,Barcelona,Les Corts,les Corts,good condition,Flat,2,82,Yes,exterior, floor 4,862000
243,Barcelona,Les Corts,les Corts,good condition,Flat,2,98,Yes,exterior, floor 2,595000
244,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,2,125,Yes,interior,mezzanine,890000
