,prices,address,description
80,"800,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",3 bed 142 m² Floor 5 exterior with lift 
81,"495,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",5 bed 146 m²  exterior with lift 
82,"670,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",3 bed 118 m² Floor 3 exterior with lift 
83,"389,000€","Flat / Apartment in via Augusta, 78, Vila de Gràcia, Barcelona",3 bed 91 m² Floor 5 exterior with lift 
84,"595,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",4 bed 135 m² Floor 6  with lift 
85,"230,000€","Flat / Apartment in calle de Pau Alsina, El Camp d'En Grassot i Gràcia Nova, Barcelona",3 bed 63 m² Floor 2 exterior with lift 
86,"420,000€","Penthouse in calle del Pare Laínez, El Camp d'En Grassot i Gràcia Nova, Barcelona",3 bed 83 m² Floor 4 exterior with lift 
87,"450,000€","Flat / Apartment in Hedilla, Horta, Barcelona",5 bed 192 m² Floor 1 exterior with lift 
88,"1,550,000€","Duplex in calle de Sor Eulàlia d'Anzizu, Pedralbes, Barcelona",5 bed 279 m² Floor 2 exterior with lift 
89,"1,780,000€","Penthouse in calle de Ganduxer, Sant Gervasi - La Bonanova, Barcelona",2 bed 200 m² Floor 7 exterior with lift 
90,"225,000€","Flat / Apartment in calle de Martínez de la Rosa, Vila de Gràcia, Barcelona",4 bed 72 m² Floor 2 exterior without lift 
91,"175,000€","Flat / Apartment in BONSOMS, 24, Sants - Badal, Barcelona",3 bed 61 m² Floor 4 exterior with lift 
92,"6,900,000€","House in Pedralbes, Barcelona",5 bed 660 m² 
93,"850,000€","Flat / Apartment in El Raval, Barcelona",4 bed 184 m²  exterior with lift 
94,"1,850,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 234 m²  exterior with lift 
95,"1,290,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",3 bed 129 m²  exterior with lift 
96,"4,500,000€","House in Sant Gervasi - La Bonanova, Barcelona",7 bed 730 m² 
97,"3,900,000€","House in Sarrià, Barcelona",6 bed 512 m² 
98,"1,880,000€","House in Vallvidrera - El Tibidabo i les Planes, Barcelona",5 bed 358 m² 
99,"190,000€","Flat / Apartment in salva, El Poble Sec - Parc de Montjuïc, Barcelona",3 bed 62 m² Floor 1 exterior with lift 
100,"145,000€","Flat / Apartment in paseo VALLDAURA, Porta, Barcelona",3 bed 65 m² Floor 1 interior with lift 
101,"1,625,000€","Flat / Apartment in paseo Bonanova, Sant Gervasi - La Bonanova, Barcelona",5 bed 240 m² Floor 3 exterior with lift 
102,"1,800,000€","Flat / Apartment in calle de Tòquio, Pedralbes, Barcelona",6 bed 360 m² Floor 4 exterior with lift 
103,"340,000€","Flat / Apartment in calle dels Sagristans, 7, El Gòtic, Barcelona",4 bed 114 m² Floor 2 exterior with lift 
104,"265,000€","Flat / Apartment in PI I MARGALL, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 63 m² Floor 2 exterior with lift 
105,"255,000€","Flat / Apartment in calle de Lepant, La Sagrada Família, Barcelona",4 bed 77 m² Floor 6 exterior with lift 
106,"445,000€","Flat / Apartment in La Nova Esquerra de l'Eixample, Barcelona",4 bed 97 m² Floor 5 exterior with lift 
107,"1,400,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",3 bed 139 m²  exterior with lift 
108,"2,500,000€","Penthouse in Pedralbes, Barcelona",7 bed 331 m² Floor 5 exterior with lift 
109,"149,000€","Flat / Apartment in calle de Móra d'Ebre, El Coll, Barcelona",3 bed 68 m² Ground floor exterior with lift 
110,"450,000€","Flat / Apartment in calle del Duc, El Gòtic, Barcelona",4 bed 113 m² Floor 3 exterior with lift 
111,"255,000€","Flat / Apartment in calle de Lepant, La Sagrada Família, Barcelona",4 bed 70 m² Floor 6 exterior with lift 
112,"295,000€","Flat / Apartment in calle de Felip II, Navas, Barcelona",4 bed 95 m² Floor 7 exterior with lift 
113,"570,000€","Flat / Apartment in calle Mallorca, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 96 m² Floor 1 exterior with lift 
114,"1,500,000€","Studio flat in paseo SAN JUAN, 102, La Dreta de l'Eixample, Barcelona",366 m² Floor 1 exterior with lift 
115,"410,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",3 bed 98 m² Floor 4 exterior with lift 
116,"162,000€","Flat / Apartment in calle de Sant Roc, Hostafrancs, Barcelona",2 bed 70 m² Ground floor exterior with lift 
117,"2,520,000€","Flat / Apartment in calle de Pau Claris, La Dreta de l'Eixample, Barcelona",8 bed 630 m² Floor 1 exterior with lift 
118,"340,000€","Flat / Apartment in calle Rocafort, La Nova Esquerra de l'Eixample, Barcelona",3 bed 90 m² Floor 1 exterior with lift 
119,"315,000€","Flat / Apartment in travesía de Dalt, La Salut, Barcelona",4 bed 89 m² Floor 8 exterior with lift 
120,"335,000€","Flat / Apartment in calle d'Aulèstia i Pijoan, Vila de Gràcia, Barcelona",3 bed 83 m² Mezzanine exterior with lift 
121,"1,495,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 150 m² Floor 3 exterior with lift 
122,"280,000€","Flat / Apartment in calle de Josep Torres, 14, Vila de Gràcia, Barcelona",1 bed 54 m² Floor 1 exterior with lift 
123,"2,500,000€","Duplex in Pedralbes, Barcelona",8 bed 447 m² Floor 5 exterior with lift 
124,"2,500,000€","Duplex in Pedralbes, Barcelona",8 bed 447 m² Floor 5 exterior with lift 
125,"195,000€","Flat / Apartment in Provençals del Poblenou, Barcelona",4 bed 79 m² Floor 4 exterior with lift 
