,prices,address,description
81,"1,750,000€","House in Sarrià, Barcelona",5 bed 380 m² 
82,"2,350,000€","Detached house in Sant Gervasi - La Bonanova, Barcelona",6 bed 585 m² 
83,"1,800,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",7 bed 271 m² Floor 1 exterior with lift 
84,"380,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 82 m² Floor 3 exterior with lift 
85,"1,090,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 161 m²  exterior with lift 
86,"1,600,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 175 m² Floor 4 exterior with lift 
87,"549,000€","Flat / Apartment in paseo de Sant Gervasi, Barcelona, El Putxet i el Farró, Barcelona",3 bed 118 m² Floor 3 exterior with lift 
88,"475,000€","Flat / Apartment in El Gòtic, Barcelona",2 bed 84 m² Floor 3 exterior with lift 
89,"335,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",1 bed 63 m² Floor 1 exterior with lift 
90,"465,000€","Flat / Apartment in Passatge del Vapor Vell, Sants, Barcelona",3 bed 123 m²   without lift 
91,"1,175,000€","Penthouse in calle de Pau Claris, La Dreta de l'Eixample, Barcelona",4 bed 189 m² Floor 7 exterior with lift 
92,"780,000€","Flat / Apartment in calle de Sant Elies, Sant Gervasi - Galvany, Barcelona",3 bed 150 m² Ground floor exterior with lift 
93,"135,000€","Flat / Apartment in rambla del Carmel, El Carmel, Barcelona",3 bed 50 m² Mezzanine exterior with lift 
94,"530,000€","Penthouse in calle del Comandant Benítez, La Maternitat i Sant Ramon, Barcelona",3 bed 130 m² Floor 9 exterior with lift 
95,"1,995,000€","Duplex in calle Balmes, 15, La Dreta de l'Eixample, Barcelona",3 bed 223 m² Floor 8 exterior with lift 
96,"1,495,000€","Duplex in calle Balmes, 15, La Dreta de l'Eixample, Barcelona",3 bed 153 m² Floor 8 exterior with lift 
97,"339,000€","Flat / Apartment in Sardenya, La Sagrada Família, Barcelona",3 bed 85 m² Floor 2 exterior with lift 
98,"850,000€","Flat / Apartment in calle de l'Avenir, Sant Gervasi - Galvany, Barcelona",5 bed 160 m² Floor 4 exterior with lift 
99,"575,000€","Flat / Apartment in Gran Via de les Corts Catalanes, La Nova Esquerra de l'Eixample, Barcelona",2 bed 120 m² Floor 3 exterior with lift 
100,"1,250,000€","Flat / Apartment in calle de Manuel Ballbè, Pedralbes, Barcelona",4 bed 206 m² Floor 11 exterior with lift 
101,"1,175,000€","Flat / Apartment in calle del Lluçanès, Sant Gervasi - La Bonanova, Barcelona",4 bed 232 m² Floor 2 exterior with lift 
102,"375,000€","Penthouse in calle d'en Grassot, El Camp d'En Grassot i Gràcia Nova, Barcelona",1 bed 67 m²  exterior with lift 
103,"695,000€","Flat / Apartment in calle de Muntaner, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 110 m²  exterior with lift 
104,"1,095,000€","Flat / Apartment in calle de Tuset, Sant Gervasi - Galvany, Barcelona",4 bed 203 m² Floor 1 exterior with lift 
105,"699,000€","Penthouse in calle de Sicília, El Fort Pienc, Barcelona",5 bed 185 m²  exterior with lift 
106,"480,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",1 bed 59 m² Floor 4 exterior with lift 
107,"695,000€","Penthouse in Sant Antoni, Barcelona",4 bed 167 m² Floor 6 exterior with lift 
108,"1,660,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 232 m² Floor 2 exterior with lift 
109,"1,700,000€","Duplex in La Dreta de l'Eixample, Barcelona",4 bed 800 m² Ground floor exterior with lift 
110,"298,000€","Flat / Apartment in Sant Pere - Santa Caterina i la Ribera, Barcelona",2 bed 86 m² Ground floor exterior without lift 
111,"425,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",4 bed 105 m² Floor 2 exterior with lift 
112,"680,000€","Flat / Apartment in El Raval, Barcelona",3 bed 145 m² Floor 1 exterior with lift 
113,"875,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",5 bed 155 m² Floor 4 exterior with lift 
114,"995,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 148 m² Floor 3 exterior with lift 
115,"440,000€","Flat / Apartment in calle Casanova, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 102 m² Floor 3 exterior with lift 
116,"1,100,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",5 bed 250 m² Floor 2 exterior with lift 
117,"625,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 101 m² Floor 3 exterior with lift 
118,"385,000€","Flat / Apartment in calle de Felipe de Paz, La Maternitat i Sant Ramon, Barcelona",3 bed 100 m² Floor 2 exterior with lift 
119,"710,000€","Penthouse in calle del Parc, El Gòtic, Barcelona",2 bed 88 m² Floor 4 exterior with lift 
120,"260,000€","Flat / Apartment in calle de Calàbria, La Nova Esquerra de l'Eixample, Barcelona",1 bed 77 m² Floor 1 exterior with lift 
121,"399,000€","Flat / Apartment in La Nova Esquerra de l'Eixample, Barcelona",3 bed 87 m² Floor 5 exterior with lift 
122,"239,000€","Flat / Apartment in calle de Padilla, El Baix Guinardó, Barcelona",3 bed 62 m²  exterior with lift 
123,"179,000€","Flat / Apartment in Espronceda, El Clot, Barcelona",1 bed 60 m² Floor 1 exterior with lift 
124,"650,000€","Detached house in Vallvidrera - El Tibidabo i les Planes, Barcelona",4 bed 243 m² 
125,"445,000€","Flat / Apartment in El Fort Pienc, Barcelona",3 bed 118 m² Floor 2 exterior with lift 
126,"960,000€","Semi-detached house in El Putxet i el Farró, Barcelona",5 bed 311 m² 
127,"795,000€","Flat / Apartment in Les Tres Torres, Barcelona",3 bed 118 m² Floor 2 exterior with lift 
128,"450,000€","Flat / Apartment in calle d'Aribau, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 72 m² Floor 5 exterior with lift 
129,"233,150€","Flat / Apartment in Sant Pere - Santa Caterina i la Ribera, Barcelona",3 bed 68 m² Floor 3 exterior without lift 
130,"595,000€","Flat / Apartment in calle de Calàbria, La Nova Esquerra de l'Eixample, Barcelona",3 bed 93 m² Floor 1  with lift 
131,"365,000€","Flat / Apartment in calle Viladomat, La Nova Esquerra de l'Eixample, Barcelona",3 bed 87 m² Floor 5 exterior with lift 
132,"690,000€","Flat / Apartment in avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 90 m² Floor 1 exterior with lift 
133,"830,000€","Detached house in calle de Can Basseda, Vallvidrera - El Tibidabo i les Planes, Barcelona",5 bed 380 m² 
134,"1,600,000€","Flat / Apartment in rambla de Catalunya, Barcelona, La Dreta de l'Eixample, Barcelona",3 bed 162 m² Floor 4 exterior with lift 
135,"1,100,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 225 m² Floor 6 exterior with lift 
136,"359,000€","Flat / Apartment in El Besòs, Barcelona",3 bed 94 m² Floor 7 exterior with lift 
137,"129,000€","Studio flat in El Raval, Barcelona",41 m² Floor 4 exterior without lift 
138,"1,350,000€","House in Sarrià, Barcelona",6 bed 296 m² 
139,"1,075,000€","Flat / Apartment in Sant Pere - Santa Caterina i la Ribera, Barcelona",4 bed 179 m²  exterior with lift 
140,"550,000€","Flat / Apartment in Les Corts, Barcelona",3 bed 103 m² Floor 5  with lift 
141,"430,000€","Flat / Apartment in El Gòtic, Barcelona",1 bed 81 m² Mezzanine exterior without lift 
142,"980,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 176 m²  interior with lift 
143,"490,000€","Rustic house in La Font d'En Fargues, Barcelona",5 bed 161 m² 
144,"1,050,000€","Penthouse in calle de Marià Cubí, Sant Gervasi - Galvany, Barcelona",3 bed 140 m² Floor 5 exterior with lift 
145,"595,000€","Flat / Apartment in calle Balmes, Sant Gervasi - Galvany, Barcelona",4 bed 134 m² Floor 4 exterior with lift 
146,"390,000€","Flat / Apartment in Sant Pere - Santa Caterina i la Ribera, Barcelona",1 bed 86 m² Floor 4 exterior with lift 
147,"668,000€","Flat / Apartment in Les Corts, Barcelona",4 bed 170 m² Floor 1 exterior with lift 
148,"1,020,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 130 m² Floor 3  without lift 
149,"800,000€","Duplex in El Putxet i el Farró, Barcelona",3 bed 197 m² Floor 2 exterior with lift 
150,"760,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",4 bed 145 m² Floor 5 exterior with lift 
151,"1,080,000€","Flat / Apartment in calle de Còrsega, Vila de Gràcia, Barcelona",3 bed 189 m² Floor 4  with lift 
152,"490,000€","Duplex in carretera de Collblanc, La Maternitat i Sant Ramon, Barcelona",3 bed 170 m² Ground floor exterior with lift 
153,"309,000€","Flat / Apartment in La Sagrada Família, Barcelona",4 bed 101 m² Floor 3 interior with lift 
154,"449,000€","Flat / Apartment in La Font d'En Fargues, Barcelona",4 bed 122 m² Floor 2 exterior without lift 
155,"1,500,000€","Penthouse in La Dreta de l'Eixample, Barcelona",2 bed 213 m² Floor 7 exterior with lift 
156,"630,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 105 m² Floor 2 exterior with lift 
157,"2,500,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 318 m² Floor 4 exterior with lift 
158,"365,000€","Flat / Apartment in calle de Sepúlveda, Sant Antoni, Barcelona",3 bed 80 m² Floor 2 exterior with lift 
159,"370,000€","Flat / Apartment in calle de Bilbao, 145, Provençals del Poblenou, Barcelona",4 bed 90 m² Floor 4 exterior with lift 
160,"475,000€","Flat / Apartment in calle de Mallorca, La Nova Esquerra de l'Eixample, Barcelona",4 bed 109 m² Floor 7 exterior with lift 
161,"645,000€","Flat / Apartment in calle de Muntaner, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 110 m² Floor 3 exterior with lift 
162,"495,000€","Flat / Apartment in El Fort Pienc, Barcelona",4 bed 97 m² Floor 2 exterior with lift 
163,"480,000€","Penthouse in Sant Antoni, Barcelona",3 bed 101 m² Floor 5  with lift 
164,"630,000€","Flat / Apartment in travesía de Gràcia, El Camp d'En Grassot i Gràcia Nova, Barcelona",3 bed 130 m² Mezzanine exterior with lift 
165,"1,149,000€","Semi-detached house in Vallcarca i els Penitents, Barcelona",4 bed 364 m² 
166,"3,370,000€","Semi-detached house in Sarrià, Barcelona",5 bed 465 m² 
167,"245,000€","Studio flat in calle Tapioles, 20, El Poble Sec - Parc de Montjuïc, Barcelona",59 m² Floor 1 exterior without lift 
168,"389,000€","Flat / Apartment in Les Corts, Barcelona",3 bed 88 m² Floor 2 exterior with lift 
169,"375,000€","Flat / Apartment in El Camp d'En Grassot i Gràcia Nova, Barcelona",4 bed 85 m² Floor 6 exterior with lift 
170,"378,000€","Flat / Apartment in calle de París, La Nova Esquerra de l'Eixample, Barcelona",3 bed 113 m² Mezzanine exterior with lift 
171,"375,000€","Flat / Apartment in calle Rocafort, La Nova Esquerra de l'Eixample, Barcelona",3 bed 108 m² Mezzanine exterior with lift 
172,"279,500€","Flat / Apartment in La Bordeta, Barcelona",4 bed 90 m² Floor 3 exterior with lift 
173,"549,000€","Flat / Apartment in avenida Diagonal, Sant Gervasi - Galvany, Barcelona",3 bed 118 m²  interior with lift 
174,"670,000€","Flat / Apartment in calle de Nicaragua, 75, Les Corts, Barcelona",2 bed 134 m² Floor 1 exterior with lift 
