,prices,address,description
658,"358,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",2 bed 83 m² Ground floor exterior with lift 
659,"398,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",2 bed 82 m² Floor 2 exterior with lift 
660,"446,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",3 bed 91 m² Floor 1 exterior with lift 
661,"455,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",3 bed 91 m² Floor 2 exterior with lift 
662,"391,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",2 bed 81 m² Floor 1 exterior with lift 
663,"325,000€","Flat / Apartment in La Prosperitat, Barcelona",3 bed 95 m²  exterior with lift 
664,"495,000€","Flat / Apartment in calle Marià Cubí, NN, Sant Gervasi - Galvany, Barcelona",1 bed 78 m² Floor 2 exterior with lift 
665,"450,000€","Flat / Apartment in calle Frederich Rahola, 43, La Font d'En Fargues, Barcelona",3 bed 115 m² Floor 2 exterior with lift 
666,"650,000€","Penthouse in calle Escudellers, El Gòtic, Barcelona",2 bed 140 m² Floor 5 exterior with lift 
667,"450,000€","Flat / Apartment in calle Escudellers, El Gòtic, Barcelona",2 bed 100 m² Floor 4 exterior with lift 
668,"450,000€","Flat / Apartment in calle Escudellers, El Gòtic, Barcelona",2 bed 100 m² Floor 3 exterior with lift 
669,"530,000€","Flat / Apartment in calle Mare de Deu del Coll, Vallcarca i els Penitents, Barcelona",2 bed 108 m²  exterior with lift 
670,"750,000€","Flat / Apartment in calle Taulat, 46, El Poblenou, Barcelona",3 bed 113 m² Floor 3 exterior with lift 
671,"750,000€","Flat / Apartment in calle Taulat, 46, El Poblenou, Barcelona",3 bed 113 m² Floor 2 exterior with lift 
672,"690,000€","Flat / Apartment in calle Taulat, 46, El Poblenou, Barcelona",3 bed 106 m² Floor 1 exterior with lift 
673,"437,312€","Duplex in calle dels Cortada, 72, La Teixonera, Barcelona",3 bed 106 m²  exterior with lift 
674,"252,920€","Flat / Apartment in calle dels Cortada, 72, La Teixonera, Barcelona",2 bed 53 m² Floor 1 exterior with lift 
675,"430,000€","Penthouse in calle Murcia, 22, Navas, Barcelona",2 bed 95 m²  exterior with lift 
